Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course
2015 Fall,Art Practice,ART,Art Practice,119,1,Gpca,Jenifer Wofford,4517,1,7,6,3,4,,,,,,,,,2,23
2015 Fall,Art Practice,ART,Art Practice,120,1,App To Prntmg Intag,Randy Hussong,4520,,11,,1,,,,,,,,,,2,14
2015 Fall,Art Practice,ART,Art Practice,132,1,App To Sculp Ceram,Stacy Jo Scott,4523,1,8,1,2,2,,,,,,,,,,15
2015 Fall,Art Practice,ART,Art Practice,133,2,Meaning/Material,Sahar Khoury,4526,1,9,3,,,,,,,,,,,,13
2015 Fall,Art Practice,ART,Art Practice,163,1,Social Practice,Stephanie Syjuco,4529,5,2,4,,1,,,,,,,,,,12
2015 Fall,Art Practice,ART,Art Practice,164,1,Art And Meditation,Azin Seraj; Katherine Sherwood,4532,,11,5,2,3,,,,,,,,,,21
2015 Fall,Art Practice,ART,Art Practice,171,1,Digital Video,Nathan Kwame Braun,4535,,2,4,3,3,,,,,,,,,1,13
2015 Fall,Art Practice,ART,Art Practice,173,1,Sound Art,Christopher Kubick,4544,,6,6,2,,,,,,,,,,,16
2015 Fall,Art Practice,ART,Art Practice,184,1,Jr Seminar,Brody Reiman,4546,6,7,4,,,,,,,,,,,,17
2015 Fall,Art Practice,ART,Art Practice,185,1,Sn Projects,Indira Morre,4547,4,15,1,3,1,,,,,,,,,,24
2015 Fall,Art Practice,ART,Art Practice,196,1,Bridging The Arts,Elise Putnam,4670,,6,1,1,2,1,,,,,,,,,11
2015 Fall,Art Practice,ART,Art Practice,198,5,Directed Group Stdy,Brody Reiman,4682,,,,,,,,,,,,,,,13
2015 Fall,Astronomy,ASTRON,Astronomy,3,1,Modern Cosmology,Chung-Pei Ma,5902,,10,3,,,3,,,,1,,2,,1,33
2015 Fall,Astronomy,ASTRON,Astronomy,7A,1,Intro Astrophysics,Mariska Kriek,5903,5,9,1,6,10,1,3,4,4,,1,,2,,52
2015 Fall,Astronomy,ASTRON,Astronomy,C10,1,General Astronomy,Alexei Filippenko,5915,41,99,73,45,69,20,8,13,10,2,,,1,2,610
2015 Fall,Astronomy,ASTRON,Astronomy,24,1,Freshman Seminars,Andrew Siemion; Gibor Basri,5995,,12,,,,,,,,,,,,,18
2015 Fall,Astronomy,ASTRON,Astronomy,84,1,Sophomore Seminar,Steven Beckwith,6227,,,,,,,,,,,,,,,15
2015 Fall,Astronomy,ASTRON,Astronomy,98,2,Directed Group Stdy,Eliot Quataert,5996,,,,,,,,,,,,,,,17
2015 Fall,Astronomy,ASTRON,Astronomy,120,1,Opt & Ir Astro,James Graham,6008,6,2,4,3,3,,,,,,,,,2,20
2015 Fall,Astronomy,ASTRON,Astronomy,160,1,Stellar Physics,Eliot Quataert,6011,1,4,5,1,9,2,2,2,4,,,,,,30
2015 Fall,Astronomy,ASTRON,Astronomy,C162,1,Planetary Astrophys,Imke De Pater,6020,1,11,7,3,,3,1,,,,,,1,,27
2015 Fall,Astronomy,ASTRON,Astronomy,198,2,Directed Group Stdy,Eliot Quataert,6032,,,,,,,,,,,,,,,12
2015 Fall,Bioengineering,BIO ENG,Bioengineering,10,1,Intro/Biomed Engin,Terry Johnson,6253,5,82,27,9,8,,,,1,,,,,1,133
2015 Fall,Bioengineering,BIO ENG,Bioengineering,24,1,Aspects Of Bioeng,Luke Lee,6268,,,,,,,,,,,,,,9,185
2015 Fall,Bioengineering,BIO ENG,Bioengineering,100,1,Ethics In Sci & Eng,Teresa Head-Gordon,6442,,73,4,,1,,,,,,,,1,,100
2015 Fall,Bioengineering,BIO ENG,Bioengineering,113,1,Stem Cells & Tech,Irina Conboy,6460,4,3,4,1,3,3,,,,,,,,,21
2015 Fall,Bioengineering,BIO ENG,Bioengineering,115,1,Cell Bio For Eng,Hayley Lam,6469,1,21,7,1,2,,,,,,,,,,32
2015 Fall,Bioengineering,BIO ENG,Bioengineering,C118,1,Biolog Perf Mats,Kevin Healy,6478,2,4,4,1,5,1,2,2,2,,,,,,23
2015 Fall,Bioengineering,BIO ENG,Bioengineering,121L,11,Biomems Bionano Lab,Dorian Liepmann,6493,4,6,3,,,,,,,,,,,,13
2015 Fall,Bioengineering,BIO ENG,Bioengineering,124,1,Basic Prin Drug,Niren Murthy,6499,,8,4,4,,,,,,,,,,,17
2015 Fall,Bioengineering,BIO ENG,Bioengineering,131,1,Intro To Comp Mcb,Ian Holmes,6523,,4,6,8,2,2,4,,1,,1,,,,30
2015 Fall,Bioengineering,BIO ENG,Bioengineering,140L,1,Synth Bio Lab,John Dueber,6535,,5,5,3,3,,1,1,,,,,1,,20
2015 Fall,Bioengineering,BIO ENG,Bioengineering,147,1,Prin Of Syn Bio,Adam Arkin,6541,6,3,2,2,,1,,,,,,,1,,17
2015 Fall,Bioengineering,BIO ENG,Bioengineering,150,1,Intro To Bio & Bion,Seung-Wuk Lee,6547,20,13,,12,10,,,,,,,,,,55
2015 Fall,Bioengineering,BIO ENG,Bioengineering,163,1,Prin Of Molec & Cel,Gerard Marriott,6556,2,12,1,,,,,,,,,,,,15
2015 Fall,Bioengineering,BIO ENG,Bioengineering,C181,1,Energy From Biomass,Wenjun Zhang,6568,,4,4,4,1,2,,,,,,,,,15
2015 Fall,Bioengineering,BIO ENG,Bioengineering,192,1,Sr Design Project,Hayley Lam,6571,,19,8,4,1,,,,,,,,,,32
2015 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C50,1,Intro To Buddhism,Mark Blum,7653,3,8,1,8,4,1,1,,,,,1,1,,43
2015 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C115,1,Japanese Buddhism,Michaela Mross,7674,,2,1,,2,,,,,,,,,,11
2015 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C120,1,Buddhsm-Silk Road,Sanjyot Mehendale,7677,,10,6,2,,,,,,,,,,,21
2015 Fall,Business,UGBA,Business Admin-Undergrad,C5,1,Intro To Entrep,Ajay Bam,7803,1,,7,10,8,3,2,,,,,,,,42
2015 Fall,Business,UGBA,Business Admin-Undergrad,10,1,Principles Of Bus,Cristina Banks; John Briginshaw; Judy Hopelain; Omar Romero-Hernandez,7806,22,61,129,103,92,31,22,15,7,6,4,2,4,,538
2015 Fall,Business,UGBA,Business Admin-Undergrad,39AC,1,Philanthropy,Colin Lacon; Karina Moreno,7866,,5,6,9,1,,,,,,,,,,24
2015 Fall,Business,UGBA,Business Admin-Undergrad,100,1,Business Comm,Daniel Himelstein,7926,,,22,12,,,,,,,,,,,34
2015 Fall,Business,UGBA,Business Admin-Undergrad,100,2,Business Comm,Evan Elliot,7929,,,19,7,,,,,,,,,,,26
2015 Fall,Business,UGBA,Business Admin-Undergrad,100,3,Business Comm,Krystal Thomas,7932,,3,17,9,,,,,,,,,,,29
2015 Fall,Business,UGBA,Business Admin-Undergrad,100,4,Business Comm,Arturo Perez-Reyes,7935,,,8,19,4,,,,,,,,,,31
2015 Fall,Business,UGBA,Business Admin-Undergrad,100,5,Business Comm,Arturo Perez-Reyes,7938,,1,4,5,8,1,,,,,,,,,19
2015 Fall,Business,UGBA,Business Admin-Undergrad,100,6,Business Comm,Krystal Thomas,7941,,3,16,11,,,,,,,,,,,30
2015 Fall,Business,UGBA,Business Admin-Undergrad,101A,1,Microeconomic Analy,Aaron Bodoh-Creed,7944,10,36,13,19,33,10,5,,,,,1,,,127
