Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course
2015 Fall,Political Science,POL SCI,Political Science,138E,1,Varieties Of Capita,Steven Vogel,71745,,14,31,38,27,21,7,1,2,1,,,2,1,146
2015 Fall,Political Science,POL SCI,Political Science,143A,1,Politics Ne Asia,Lowell Dittmer,71760,,4,8,2,14,5,3,2,,1,,,2,,47
2015 Fall,Political Science,POL SCI,Political Science,143B,1,Japanese Politics,T J Pempel,71769,2,24,21,6,12,9,7,6,2,1,1,1,4,,102
2015 Fall,Political Science,POL SCI,Political Science,143C,1,Chinese Politics,Peter Lorentzen,71789,3,6,19,15,5,4,1,2,,,,,,1,56
2015 Fall,Political Science,POL SCI,Political Science,146A,1,African Politics,Leonardo Arriola,71814,,39,13,11,16,5,2,4,1,3,1,,3,3,104
2015 Fall,Political Science,POL SCI,Political Science,147F,1,Contemp French Pol,Jonah Levy,71829,,15,5,3,4,9,2,8,4,,2,2,1,,56
2015 Fall,Political Science,POL SCI,Political Science,149E,1,Topics In Area Stdy,Darren Zook,71859,,45,42,38,14,3,,,,,,,,1,148
2015 Fall,Political Science,POL SCI,Political Science,150,1,Amer Legal System,Sean Farhang,71871,4,14,16,4,9,2,1,1,,,,,,,51
2015 Fall,Political Science,POL SCI,Political Science,164A,1,Pol Psych Involv,Laura Stoker,71900,6,45,22,22,29,14,6,7,3,,3,,1,2,162
2015 Fall,Political Science,POL SCI,Political Science,167AC,1,Racial Ethnic Pol,Taeku Lee,71916,16,19,8,4,2,,1,,,,1,,,3,55
2015 Fall,Political Science,POL SCI,Political Science,171,1,California Politics,Edward Lempert,71925,,19,5,4,16,2,1,2,2,,,1,2,1,55
2015 Fall,Political Science,POL SCI,Political Science,179,1,Colloq On Pol Sci,Alan Ross,71934,,,,,,,,,,,,,,,557
2015 Fall,Political Science,POL SCI,Political Science,181,1,Pub Organ Admin,Christopher Ansell,71937,,11,24,17,4,1,1,1,,,,,,1,60
2015 Fall,Political Science,POL SCI,Political Science,191,2,Junior Seminar,Helene Silverberg,71955,,2,1,4,6,1,1,,,,,,,,15
2015 Fall,Political Science,POL SCI,Political Science,191,3,Junior Seminar,Helene Silverberg,71958,,5,2,2,3,4,,,,,,,,,17
2015 Fall,Political Science,POL SCI,Political Science,191,4,Junior Seminar,Rodney Hero,71961,,2,4,5,,1,,,1,,,,,,13
2015 Fall,Political Science,POL SCI,Political Science,191,6,Junior Seminar,Lowell Dittmer,73221,,5,4,2,,,,,,,,,,,12
2015 Fall,Political Science,POL SCI,Political Science,C196W,1,Special Research,Michael Austin,72003,,7,3,1,1,,,,,,,,,,12
2015 Fall,Political Science,POL SCI,Political Science,198,3,Directed Group Stdy,Chaddy Georges; Terri Bimes,72036,,,,,,,,,,,,,,,19
2015 Fall,Political Science,POL SCI,Political Science,198,4,Directed Group Stdy,Darren Zook; Nicholas Clothier,72038,,,,,,,,,,,,,,,18
2015 Fall,Psychology,PSYCH,Psychology,1,1,General Psychology,Christopher Gade,73503,21,90,86,51,68,28,30,14,13,6,9,3,8,,474
2015 Fall,Psychology,PSYCH,Psychology,W1,1,General Psychology,Christopher Gade,73596,,3,8,11,10,7,16,11,3,,3,,5,,113
2015 Fall,Psychology,PSYCH,Psychology,2,1,Principles Of Psych,Frederic Theunissen; Kimberly Russo,73599,43,85,28,6,5,3,1,1,,,,,3,,182
2015 Fall,Psychology,PSYCH,Psychology,10,1,Res & Data Anal,Arman Catterson,73605,25,22,15,7,4,,1,,1,,,,1,1,78
2015 Fall,Psychology,PSYCH,Psychology,C19,1,Drugs And The Brain,David Presti,73638,4,12,15,17,22,10,3,11,2,,2,,2,,151
2015 Fall,Psychology,PSYCH,Psychology,C64,1,Exploring The Brain,Natalia Caporale,73716,2,13,18,8,17,14,4,9,4,1,2,1,8,2,116
2015 Fall,Psychology,PSYCH,Psychology,98,8,Superv Group Study,Ozlem Ayduk,73764,,,,,,,,,,,,,,,118
2015 Fall,Psychology,PSYCH,Psychology,101,1,Res & Data Anal,Arman Catterson,73842,42,25,21,9,9,,1,1,1,1,1,,7,3,121
2015 Fall,Psychology,PSYCH,Psychology,102,1,Research Stats,Frederic Theunissen,73875,5,14,4,4,4,5,2,,1,,1,,1,4,53
2015 Fall,Psychology,PSYCH,Psychology,110,1,Introd Biol Psych,Jonathan Wallis,73884,9,14,15,8,18,13,9,10,7,4,7,7,7,3,145
2015 Fall,Psychology,PSYCH,Psychology,C120,1,Issues In Cognition,Jennifer Dorfman,73938,3,19,8,10,13,6,3,1,2,2,3,,,,73
2015 Fall,Psychology,PSYCH,Psychology,C127,1,Cognitive Neurosci,Jack Gallant,73956,,3,9,9,16,6,3,,,,,,2,,73
2015 Fall,Psychology,PSYCH,Psychology,130,1,Clinical Psychology,Sheri Johnson,73986,4,15,33,37,26,17,11,14,4,4,4,,3,1,187
2015 Fall,Psychology,PSYCH,Psychology,131,1,Dev Psychopathology,Qing Zhou,74016,16,46,35,,9,,,13,,,1,,1,2,131
2015 Fall,Psychology,PSYCH,Psychology,133,1,Psychology Of Sleep,Matthew Walker,74036,1,138,115,20,7,3,1,,2,,1,,,,299
2015 Fall,Psychology,PSYCH,Psychology,134,1,Health Psychology,Aaron Fisher,74037,6,71,21,13,11,5,2,,1,,1,,1,,134
2015 Fall,Psychology,PSYCH,Psychology,140,1,Development Psych,Fei Xu,74067,1,30,45,23,34,12,10,10,5,,,,2,1,183
2015 Fall,Psychology,PSYCH,Psychology,160,1,Social Psychology,Serena Chen,74145,31,71,42,43,31,18,11,10,8,6,1,1,4,,312
2015 Fall,Psychology,PSYCH,Psychology,164,1,Social Cognition,John Kihlstrom,74184,,53,15,13,18,10,8,22,,,3,,,,153
2015 Fall,Psychology,PSYCH,Psychology,167AC,1,Stigma,Rodolfo Mendoza-Denton,74187,28,63,49,27,31,13,12,6,2,1,,,3,1,291
2015 Fall,Psychology,PSYCH,Psychology,190A,1,Early Learning,Stephen Hinshaw,74225,1,4,,3,2,,,,,,,,,,10
2015 Fall,Psychology,PSYCH,Psychology,198,8,Directed Group Stdy,Ozlem Ayduk,74481,,,,,,,,,,,,,,,64
2015 Fall,Psychology,PSYCH,Psychology,198,15,Directed Group Stdy,Sheri Johnson,74502,,,,,,,,,,,,,,,13
2015 Fall,Public Health,PB HLTH,Public Health,98,9,Directed Group Stdy,Ndola Prata,75236,,,,,,,,,,,,,,2,14
2015 Fall,Public Health,PB HLTH,Public Health,98,12,Directed Group Stdy,Alberta Rincon,75245,,,,,,,,,,,,,,,11
2015 Fall,Public Health,PB HLTH,Public Health,98,17,Directed Group Stdy,Ndola Prata,75260,,,,,,,,,,,,,,2,15
2015 Fall,Public Health,PB HLTH,Public Health,98,20,Directed Group Stdy,David Potts,75269,,,,,,,,,,,,,,,16
2015 Fall,Public Health,PB HLTH,Public Health,98,56,Directed Group Stdy,David Potts,75302,,,,,,,,,,,,,,,18
2015 Fall,Public Health,PB HLTH,Public Health,98,66,Directed Group Stdy,David Potts,75329,,,,,,,,,,,,,,,18
2015 Fall,Public Health,PB HLTH,Public Health,98,72,Directed Group Stdy,Lisa Barcellos,76898,,,,,,,,,,,,,,,10
2015 Fall,Public Health,PB HLTH,Public Health,104A,1,Health Promotion,Cathy Kodama,75359,,,,,,,,,,,,,,,23
2015 Fall,Public Health,PB HLTH,Public Health,116,1,Sem Hlth Med Issues,David Potts,75362,,,,,,,,,,,,,,1,656
2015 Fall,Public Health,PB HLTH,Public Health,C129,1,Aging Brain,William Jagust,75365,,9,10,10,15,8,3,3,4,,,,,,68
2015 Fall,Public Health,PB HLTH,Public Health,142,1,Intro Prob Stat,Steve Selvin,75368,55,98,44,8,6,4,,2,,,,,,6,226
2015 Fall,Public Health,PB HLTH,Public Health,142,2,Intro Prob Stat,Alan Hubbard; Maureen Lahiff,75400,10,36,37,20,14,6,,1,,,,,,,124
2015 Fall,Public Health,PB HLTH,Public Health,145,1,Contin Outcome Data,John Marshall,75404,12,21,11,2,,,,,,,,,,,48
2015 Fall,Public Health,PB HLTH,Public Health,150B,1,Intro Env Hlth Sci,Charlotte Smith,75419,,137,10,6,15,,,1,,,,,,,170
2015 Fall,Public Health,PB HLTH,Public Health,150D,1,Intro Hlth Pol Mgt,Robin Flagg,75440,6,70,69,25,17,4,1,1,,,,,,,198
2015 Fall,Public Health,PB HLTH,Public Health,C155,1,Soc Of Hlth & Med,Laura Nathan,75473,,7,6,4,15,8,1,8,,,,,,,52
2015 Fall,Public Health,PB HLTH,Public Health,162A,1,Pub Hlth Microbiol,Gertrude Buehring,75476,1,77,20,33,52,2,9,8,,,1,,,,204
2015 Fall,Public Health,PB HLTH,Public Health,162L,1,Pub Hlth Microb Lab,Kathleen Loretz,75497,,5,1,7,6,1,,3,,,1,,,,24
2015 Fall,Public Health,PB HLTH,Public Health,162L,2,Pub Hlth Microb Lab,Kathleen Loretz,75500,,5,2,2,9,1,1,2,1,,,,,,24
2015 Fall,Public Health,PB HLTH,Public Health,162L,3,Pub Hlth Microb Lab,Kathleen Loretz,75503,,6,,,10,2,2,4,,,,,,,24
2015 Fall,Public Health,PB HLTH,Public Health,162L,4,Pub Hlth Microb Lab,Kathleen Loretz,75506,,5,2,3,9,1,,4,,,,,,,24
2015 Fall,Public Health,PB HLTH,Public Health,181,1,Poverty/Population,David Potts,75509,1,86,28,13,16,8,1,1,,,,,,,155
2015 Fall,Public Health,PB HLTH,Public Health,198,14,Directed Group Stdy,Cathy Kodama,75644,,,,,,,,,,,,,,,10
2015 Fall,Public Policy,PUB POL,Public Policy,101,1,Intro Pub Pol Anal,Michael O'Hare,77115,6,18,18,21,11,10,1,,,,,,,3,91
2015 Fall,Public Policy,PUB POL,Public Policy,117AC,1,Race Ethn & Pub Pol,Jane Mauldon,77508,3,20,7,5,1,1,,,,,,,,1,39
2015 Fall,Public Policy,PUB POL,Public Policy,C184,1,"Energy, Society",Daniel Kammen,77136,1,6,7,5,3,,1,,1,,,,,1,40
2015 Fall,Public Policy,PUB POL,Public Policy,190,1,Spec Topics Pub Pol,Rucker Johnson,77169,5,3,20,6,4,,1,,1,,,,1,,45
2015 Fall,Public Policy,PUB POL,Public Policy,190,3,Spec Topics Pub Pol,Sarumathi Jayaraman,77175,,7,10,1,,,,,,,,,,,18
2015 Fall,Public Policy,PUB POL,Public Policy,190,5,Spec Topics Pub Pol,Timothy Dayonot,77181,,15,36,7,,,,,,,,,,1,63
2015 Fall,Public Policy,PUB POL,Public Policy,190,7,Spec Topics Pub Pol,Alexander Gelber,77187,,14,1,,,,,,,,,,,,17
2015 Fall,Public Policy,PUB POL,Public Policy,190,9,Spec Topics Pub Pol,Amy Lerman,77190,1,15,15,22,19,9,1,2,2,,,,,2,90
2015 Fall,Public Policy,PUB POL,Public Policy,190,11,Spec Topics Pub Pol,Sarumathi Jayaraman,77196,,27,12,1,,,,,,,,,,3,44
2015 Fall,Public Policy,PUB POL,Public Policy,190,12,Spec Topics Pub Pol,Roy Ulrich,77199,,2,3,5,4,3,1,2,,,1,,,,21
2015 Fall,Rhetoric,RHETOR,Rhetoric,R1A,1,Craft Of Writing,Alexandra Budny; Ryan Ikeda,77803,1,3,9,10,6,4,,,,1,,,,,35
2015 Fall,Rhetoric,RHETOR,Rhetoric,R1A,2,Craft Of Writing,Megan Alvarado Saggese; Michael Mascuch,77806,,1,2,4,4,3,2,1,,,,,,,17
2015 Fall,Rhetoric,RHETOR,Rhetoric,R1A,3,Craft Of Writing,Janice Yu; Kathleen Powers; Michael Mascuch,77809,,9,14,4,2,,1,,,,,1,,2,33
2015 Fall,Rhetoric,RHETOR,Rhetoric,R1A,5,Craft Of Writing,Kelianne Montalvo; Michael Mascuch; Michelle Potts,77815,2,8,14,4,3,,,,,,,,,,31
2015 Fall,Rhetoric,RHETOR,Rhetoric,R1B,1,Craft Of Writing,Evyn Espiritu; Michael Mascuch; Ryan Rhadigan,77818,,3,13,8,2,1,,,,,,,,,27
2015 Fall,Rhetoric,RHETOR,Rhetoric,R1B,2,Craft Of Writing,Alexandria Wright; Emily O'Rourke; Michael Mascuch,77821,3,4,9,7,5,3,1,,,,,,,,32
2015 Fall,Rhetoric,RHETOR,Rhetoric,R1B,4,Craft Of Writing,Kuan Hwa; Michael Mascuch; Nicholaus Gutierrez,77827,,12,12,11,2,1,,,1,,,,1,,40
2015 Fall,Rhetoric,RHETOR,Rhetoric,10,1,Reason And Argument,David Bates,77833,8,15,24,22,18,6,2,1,,,,1,,1,108
2015 Fall,Rhetoric,RHETOR,Rhetoric,98,1,Directed Group Stdy,Nadesan Permaul,77857,,,,,,,,,,,,,,,36
2015 Fall,Rhetoric,RHETOR,Rhetoric,103A,1,Hist Of Rhet I,Ramona Naddaff,77863,1,22,24,13,3,,3,,,,,,,,69
2015 Fall,Rhetoric,RHETOR,Rhetoric,106,1,Historical Disc,Mario Wimmer,78283,2,7,5,4,1,,,,,,,,,2,22
2015 Fall,Rhetoric,RHETOR,Rhetoric,107,1,Scientific Disc,Nasser Zakariya,77884,,8,5,5,3,2,1,,,,,,,,24
2015 Fall,Rhetoric,RHETOR,Rhetoric,108,1,Philosophical Disc,James Porter,77887,,17,4,4,1,,1,,,1,,1,1,,30
2015 Fall,Rhetoric,RHETOR,Rhetoric,114,1,New Media,Felipe Gutterriez,77899,,12,10,4,,1,,,,,,,1,,30
2015 Fall,Rhetoric,RHETOR,Rhetoric,121,1,Rhetoric Of Fiction,Michael Mascuch,77908,,5,8,9,5,1,,,,,,,,,31
2015 Fall,Rhetoric,RHETOR,Rhetoric,122,1,Rhet Of Drama,Rebecca Lee,77910,,2,2,3,6,2,,1,2,,,,1,,19
2015 Fall,Rhetoric,RHETOR,Rhetoric,132T,1,Auteur In Film,Eileen Jones,77917,,10,6,5,1,,,,,,,,,,22
2015 Fall,Rhetoric,RHETOR,Rhetoric,135T,1,Selected Film Topic,Eileen Jones,77923,5,7,8,3,,,1,,,,,,,,25
2015 Fall,Rhetoric,RHETOR,Rhetoric,152AC,1,Race/New Republic,Nadesan Permaul,77932,,13,4,3,9,,,,,,,,,,31
2015 Fall,Rhetoric,RHETOR,Rhetoric,157B,1,Contemp Pol Theory,Felipe Gutterriez,77935,,4,7,6,,,,,,,,,,,18
2015 Fall,Rhetoric,RHETOR,Rhetoric,160,1,Intro - Legal Disc,Nancy Weston,77941,,4,5,3,3,2,,,,,1,,,,19
2015 Fall,Rhetoric,RHETOR,Rhetoric,164,1,Legal Theory,Samera Esmeir,77944,,3,6,4,3,3,2,,,,,,,2,26
2015 Fall,Rhetoric,RHETOR,Rhetoric,198,1,Directed Group Stdy,Nadesan Permaul,78058,,,,,,,,,,,,,,,28
2015 Fall,Scandinavian,SCANDIN,Scandinavian,R5A,1,Reading & Comp,Jonas Wellendorf; Rosie Taylor,78503,,4,6,6,,,,,,,,,,1,17
2015 Fall,Scandinavian,SCANDIN,Scandinavian,R5A,2,Reading & Comp,Adam Carl; Jonas Wellendorf,78506,,10,3,,,1,1,,,,,,1,,16
2015 Fall,Scandinavian,SCANDIN,Scandinavian,R5B,3,Reading & Comp,Carl Olsen,78515,1,6,8,,1,2,,,,,,,,,18
2015 Fall,Scandinavian,SCANDIN,Scandinavian,R5B,4,Reading & Comp,Jackson Crawford,78518,2,6,3,1,3,1,,,,,,,,,16
2015 Fall,Scandinavian,SCANDIN,Scandinavian,75,1,Nordic Lit Culture,Linda Rugg,78521,2,9,11,4,2,1,1,,,,,,,1,33
2015 Fall,Scandinavian,SCANDIN,Scandinavian,123,1,Viking/Mediev Scand,Molly Bauer,78557,1,4,3,2,2,,,,,,,,1,,19
2015 Fall,Scandinavian,SWEDISH,Swedish,1A,1,Beginning Swedish,Carl Olsen,79203,4,2,4,1,3,,,,,,,,,,16
2015 Fall,Slavic Languages & Lit,ARMENI,Armenian,101A,1,Continuing Armenian,Hasmig Seropian,80306,6,7,,,,,,,,,,,,,14
2015 Fall,Slavic Languages & Lit,HUNGARI,Hungarian,1A,1,Intro Hungarian,Eva Szoke,80903,2,5,,,,,,,,,,,1,,10
2015 Fall,Slavic Languages & Lit,RUSSIAN,Russian,1,1,Elementary Russian,Lisa Little; Thomas Dyne,81203,1,3,2,3,1,,,,,,,,,,12
2015 Fall,Slavic Languages & Lit,RUSSIAN,Russian,2,1,Elementary Russian,Lisa Little,81212,1,2,4,,3,,,,,,,,,,12
2015 Fall,Slavic Languages & Lit,SLAVIC,Slavic Languages & Lit,R5A,1,Reading And Comp,Anne Nesbet; Brian Egdorf,79703,,1,7,6,1,,1,1,,,,,1,,18
2015 Fall,Slavic Languages & Lit,SLAVIC,Slavic Languages & Lit,R5A,2,Reading And Comp,Anne Nesbet; Megan Barickman,79706,,3,4,7,2,1,,,,,,,,,17
2015 Fall,Slavic Languages & Lit,SLAVIC,Slavic Languages & Lit,R5B,1,Reading And Comp,Anne Nesbet; Jennifer Flaherty,79709,,,4,6,6,,,1,,,,,,,17
2015 Fall,Slavic Languages & Lit,SLAVIC,Slavic Languages & Lit,R5B,3,Reading And Comp,Anne Nesbet; Lily Scott,79715,,1,8,3,4,,,,,,,,,,16
2015 Fall,Slavic Languages & Lit,SLAVIC,Slavic Languages & Lit,39C,1,Lower Div Seminar,David Frick,79718,,11,6,3,4,,,,,,,,,1,28
2015 Fall,Slavic Languages & Lit,SLAVIC,Slavic Languages & Lit,45,1,19th Cent Russ Lit,Lyubov Golburt,79721,,12,8,6,,1,1,1,,,,,1,,41
2015 Fall,Slavic Languages & Lit,SLAVIC,Slavic Languages & Lit,100,1,Sem Rus E Eur Euras,Darya Kavitskaya,79775,1,8,1,,,,,,,,,,,,10
2015 Fall,Slavic Languages & Lit,SLAVIC,Slavic Languages & Lit,134E,1,Chekhov,Anna Muza,79781,2,8,2,1,,,,,,,,,1,,15
2015 Fall,Slavic Languages & Lit,SLAVIC,Slavic Languages & Lit,182,1,Pushkin,Lyubov Golburt,79795,,8,5,,,,,,,,,,,,14
2015 Fall,Social Welfare,SOC WEL,Social Welfare,98,9,Directed Group Stdy,Catharine Ralph,81355,,,,,,,,,,,,,,,11
2015 Fall,Social Welfare,SOC WEL,Social Welfare,110,1,Soc Wk As A Prof,Susan Stone,81339,17,15,4,2,1,3,1,2,,,1,1,,,47
2015 Fall,Social Welfare,SOC WEL,Social Welfare,114,1,Practice In Soc Wk,Sevaughn Banks,81348,,14,13,4,11,3,1,1,,,2,,,1,50
2015 Fall,Social Welfare,SOC WEL,Social Welfare,116,1,Current Topics,Michael Austin,81357,,22,14,2,2,,1,,1,,,,,3,45
2015 Fall,Social Welfare,SOC WEL,Social Welfare,198,4,Directed Group Stdy,Jill Berrick,81409,,,,,,,,,,,,,,,38
2015 Fall,Sociology,SOCIOL,Sociology,1,1,Intro To Sociology,Ann Swidler,81903,12,68,61,60,47,23,10,3,4,,1,1,6,1,308
2015 Fall,Sociology,SOCIOL,Sociology,3AC,1,Prin Soc: Am Cultur,Mary Kelsey,81954,41,121,61,33,16,2,1,2,,,,,,1,298
2015 Fall,Sociology,SOCIOL,Sociology,5,1,Eval Of Evidence,Irene Bloemraad,81957,,25,91,46,35,15,6,10,2,2,1,2,2,1,240
2015 Fall,Sociology,SOCIOL,Sociology,7,1,Soc Sci Statistics,Michael Burawoy; Michael Schultz,81989,2,8,4,3,4,,,3,,,,,,,26
2015 Fall,Sociology,SOCIOL,Sociology,98,1,Directed Group Stdy,Mary Kelsey,81990,,,,,,,,,,,,,,,21
2015 Fall,Sociology,SOCIOL,Sociology,98,2,Directed Group Stdy,Brian Powers,81993,,,,,,,,,,,,,,,14
2015 Fall,Sociology,SOCIOL,Sociology,101,1,Soc Theory I,Michael Burawoy,82041,,22,59,61,52,26,30,13,7,1,,,2,1,276
2015 Fall,Sociology,SOCIOL,Sociology,106,1,Quan Soc Methods,Jacob Habinek; Michael Burawoy,82092,1,4,,,1,,,,,,1,,1,3,12
2015 Fall,Sociology,SOCIOL,Sociology,110,1,Org & Soc Institut,Linus Huang,82095,11,24,45,22,14,8,8,11,3,3,2,2,,6,177
2015 Fall,Sociology,SOCIOL,Sociology,111AC,1,Socio Of The Family,Joanna Reed,82098,,15,20,22,27,6,3,3,,,1,,1,,117
2015 Fall,Sociology,SOCIOL,Sociology,C115,1,Soc Of Hlth & Med,Laura Nathan,82101,,8,7,9,30,5,5,8,,1,2,,2,3,89
2015 Fall,Sociology,SOCIOL,Sociology,116,1,Sociology Of Work,Christoph Hermann,82104,1,17,6,3,1,1,1,,,3,,,,,38
2015 Fall,Sociology,SOCIOL,Sociology,119S,1,Organizatn Strategy,Sylvia Flatt,82107,2,10,6,5,2,,1,,,,,,,,30
2015 Fall,Sociology,SOCIOL,Sociology,120,1,Econ And Society,Andrew Barlow,82110,3,19,11,4,13,6,6,3,2,1,,1,4,3,78
2015 Fall,Sociology,SOCIOL,Sociology,121,1,Soc Of Entrepreneur,Szonja Ivester,82128,2,28,35,17,15,9,7,10,5,3,1,1,2,,146
2015 Fall,Sociology,SOCIOL,Sociology,124,1,Sociol Of Poverty,Martin Sanchez-Jankowski,82131,,5,6,9,3,4,5,1,1,,,,2,,39
2015 Fall,Sociology,SOCIOL,Sociology,127,1,Develop & Globa,Tiffany Page,82143,,8,7,15,17,6,3,1,,1,,,1,1,62
2015 Fall,Sociology,SOCIOL,Sociology,130,1,Soc Inequalities,Daniel Schneider,82146,3,18,7,13,12,4,2,,1,,1,,,,62
2015 Fall,Sociology,SOCIOL,Sociology,135,1,Sexual Cultures,Jill Bakehorn,82149,,6,11,12,13,8,3,7,,,,,1,,66
2015 Fall,Sociology,SOCIOL,Sociology,140,1,Polit & Soc Cha,Cihan Tugal,82152,,14,19,10,2,1,2,,2,,,,2,6,66
2015 Fall,Sociology,SOCIOL,Sociology,150,1,Social Psych,Brian Powers,82167,4,19,36,22,5,1,,,,,,,,,90
2015 Fall,Sociology,SOCIOL,Sociology,160,1,Sociol Of Culture,Jill Bakehorn,82170,1,5,23,27,58,14,6,3,3,,,,1,,154
2015 Fall,Sociology,SOCIOL,Sociology,166,1,Society & Technolog,Linus Huang,82173,21,46,45,15,14,13,3,7,4,2,,,1,3,194
2015 Fall,Sociology,SOCIOL,Sociology,C167,1,Virtul Comm/Soc Med,Edwin Lin,82176,6,113,14,4,8,1,,1,,,1,1,1,,155
2015 Fall,Sociology,SOCIOL,Sociology,180I,1,Comp Persp:Inequal,Szonja Ivester,82182,,12,8,6,2,5,1,,,,,,1,,36
2015 Fall,Sociology,SOCIOL,Sociology,189G,1,Soc Global Elite,Szonja Ivester,82185,4,1,4,2,3,3,,2,,,1,,1,,25
2015 Fall,Sociology,SOCIOL,Sociology,190,1,Sem & Res In So,John Lie,82188,,4,7,4,,,,1,,,,,,1,17
2015 Fall,Sociology,SOCIOL,Sociology,190,3,Sem & Res In So,Matthew Rowe; Michael Burawoy,82194,,3,7,4,4,1,,,,,,,1,1,21
2015 Fall,Sociology,SOCIOL,Sociology,190,4,Sem & Res In So,Michael Burawoy; Rachel Wetts,82197,2,3,10,1,2,1,2,,,,,,,,21
2015 Fall,Sociology,SOCIOL,Sociology,190,5,Sem & Res In So,Emine Elcioglu; Michael Burawoy,82200,2,6,11,2,1,,,,,,,,,,22
2015 Fall,Sociology,SOCIOL,Sociology,198,1,Directed Group Stdy,Mary Kelsey,82332,,,,,,,,,,,,,,,38
2015 Fall,Sociology,SOCIOL,Sociology,198,2,Directed Group Stdy,Brian Powers,82335,,,,,,,,,,,,,,,30
2015 Fall,Sociology,SOCIOL,Sociology,198,3,Directed Group Stdy,Jill Bakehorn,82338,,,,,,,,,,,,,,,15
2015 Fall,Sociology,SOCIOL,Sociology,198BC,1,Directed Group Stud,Katherine Maich; Kim Voss,82434,,,,,,,,,,,,,,,15
2015 Fall,Sociology,SOCIOL,Sociology,198BC,5,Directed Group Stud,Benjamin Shestakofsky; Kim Voss,82446,,,,,,,,,,,,,,,15
2015 Fall,South & SE Asian Studies,BANGLA,Bengali,1A,1,Intro Bengali,Amitabha Basu,84403,,6,6,2,,,,,,,,,,,14
2015 Fall,South & SE Asian Studies,FILIPN,Filipino,1A,1,Intro To Filipino,Cynthia Agnes Aban,84503,1,17,1,,,,,,,,,,,,20
2015 Fall,South & SE Asian Studies,FILIPN,Filipino,1A,2,Intro To Filipino,Cynthia Agnes Aban,84506,,17,2,,,,,,,,,,,,19
2015 Fall,South & SE Asian Studies,FILIPN,Filipino,1A,3,Intro To Filipino,Cynthia Agnes Aban,84509,1,16,,,,,,,,,,,,1,18
2015 Fall,South & SE Asian Studies,FILIPN,Filipino,W1X,1,Intro Filipn Online,Maria Barrios-Leblanc,84523,8,15,,,,,,,,,,,,,24
2015 Fall,South & SE Asian Studies,FILIPN,Filipino,100A,1,Intermed Filipino,Karen Llagas,84524,,14,,1,,,,,,,,,,,15
2015 Fall,South & SE Asian Studies,FILIPN,Filipino,100A,2,Intermed Filipino,Karen Llagas,84527,4,12,1,,,,,,,,,,,,17
2015 Fall,South & SE Asian Studies,FILIPN,Filipino,101A,1,Advanced Filipino,Maria Barrios-Leblanc,84530,9,2,,,,,,,,,,,,,11
2015 Fall,South & SE Asian Studies,HIN-URD,Hindi-Urdu,1A,1,Intrd Hindi,Pranjali Sirasao,84603,,18,,1,1,,,,,,,,,,20
2015 Fall,South & SE Asian Studies,HIN-URD,Hindi-Urdu,1A,2,Intrd Hindi,Pranjali Sirasao,84606,,13,,2,3,,,,,,,,,,20
2015 Fall,South & SE Asian Studies,HIN-URD,Hindi-Urdu,2A,1,Intrd Urdu,Qamar Jalil,84609,3,8,2,,,,,,,,,,,1,15
2015 Fall,South & SE Asian Studies,HIN-URD,Hindi-Urdu,100A,1,Intermediate Hindi,Pranjali Sirasao,84612,,11,,2,,,,,,,,,,,13
2015 Fall,South & SE Asian Studies,HIN-URD,Hindi-Urdu,101A,1,Readings Modern Hin,Usha Jain,84618,2,3,2,,,,,,,,,,,1,11
2015 Fall,South & SE Asian Studies,MALAY/I,Malay/Indonesian,1A,1,Introd Indonesian,Ninik Lunde,85003,3,10,,2,,,,,,,,,,,17
2015 Fall,South & SE Asian Studies,MALAY/I,Malay/Indonesian,100A,1,Intermed Indonesian,Ninik Lunde,85006,1,18,1,,,,,,,,,,,,20
2015 Fall,South & SE Asian Studies,MALAY/I,Malay/Indonesian,100A,2,Intermed Indonesian,Ninik Lunde,85009,4,16,,,,,,,,,,,,,20
2015 Fall,South & SE Asian Studies,PUNJABI,Punjabi,1A,1,Introd Punjabi,Upkar Ubhi,85203,2,5,5,1,,3,,,,,,,,,17
2015 Fall,South & SE Asian Studies,S ASIAN,South Asian,1A,1,Civ Early India,Alexander Von Rospatt,84003,6,7,9,8,4,,,,1,,,,1,,43
2015 Fall,South & SE Asian Studies,S ASIAN,South Asian,R5A,1,Great Books India,Nicole Ferreira; Robert Goldman,84012,,6,6,5,,1,,,,,,,,,18
2015 Fall,South & SE Asian Studies,S ASIAN,South Asian,R5A,2,Great Books India,Robert Goldman; Sabhanaz Diya,84015,,,3,5,4,4,1,,,,,,,,17
2015 Fall,South & SE Asian Studies,S ASIAN,South Asian,R5A,3,Great Books India,Kashi Gomez; Robert Goldman,84018,2,4,5,2,1,2,,,,,,,,1,17
2015 Fall,South & SE Asian Studies,S ASIAN,South Asian,C123,1,Relig In Med India,Vasudha Paramasivan,84021,,1,5,6,,,1,,,,,,,,13
2015 Fall,South & SE Asian Studies,S ASIAN,South Asian,C140,1,Hindu Mythology,Robert Goldman,84024,1,17,30,13,3,1,,,,,,,,1,84
